2024-05-06 12:17:18,084 INFO    MainThread:25931 [wandb_setup.py:_flush():76] Current SDK version is 0.16.4
2024-05-06 12:17:18,085 INFO    MainThread:25931 [wandb_setup.py:_flush():76] Configure stats pid to 25931
2024-05-06 12:17:18,085 INFO    MainThread:25931 [wandb_setup.py:_flush():76] Loading settings from /home/tzikos/.config/wandb/settings
2024-05-06 12:17:18,085 INFO    MainThread:25931 [wandb_setup.py:_flush():76] Loading settings from /home/tzikos/Desktop/KULeuvenThesis/wandb/settings
2024-05-06 12:17:18,085 INFO    MainThread:25931 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-06 12:17:18,085 INFO    MainThread:25931 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-06 12:17:18,085 INFO    MainThread:25931 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/home/tzikos/Desktop/KULeuvenThesis/main.py', 'program': '/home/tzikos/Desktop/KULeuvenThesis/main.py'}
2024-05-06 12:17:18,085 INFO    MainThread:25931 [wandb_init.py:_log_setup():526] Logging user logs to /home/tzikos/Desktop/KULeuvenThesis/wandb/run-20240506_121718-p8h5ur8w/logs/debug.log
2024-05-06 12:17:18,085 INFO    MainThread:25931 [wandb_init.py:_log_setup():527] Logging internal logs to /home/tzikos/Desktop/KULeuvenThesis/wandb/run-20240506_121718-p8h5ur8w/logs/debug-internal.log
2024-05-06 12:17:18,085 INFO    MainThread:25931 [wandb_init.py:init():566] calling init triggers
2024-05-06 12:17:18,086 INFO    MainThread:25931 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'learning_rate': 5e-07, 'batch_size': 64, 'early_patience': 12, 'reduce_lr_patience': 5, 'architecture': 'ECGCNNClassifier', 'experiment': 'ptb'}
2024-05-06 12:17:18,086 INFO    MainThread:25931 [wandb_init.py:init():616] starting backend
2024-05-06 12:17:18,086 INFO    MainThread:25931 [wandb_init.py:init():620] setting up manager
2024-05-06 12:17:18,087 INFO    MainThread:25931 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-06 12:17:18,091 INFO    MainThread:25931 [wandb_init.py:init():628] backend started and connected
2024-05-06 12:17:18,095 INFO    MainThread:25931 [wandb_init.py:init():720] updated telemetry
2024-05-06 12:17:18,101 INFO    MainThread:25931 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-05-06 12:17:18,505 INFO    MainThread:25931 [wandb_run.py:_on_init():2262] communicating current version
2024-05-06 12:17:18,591 INFO    MainThread:25931 [wandb_run.py:_on_init():2271] got version response upgrade_message: "wandb version 0.16.6 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-05-06 12:17:18,591 INFO    MainThread:25931 [wandb_init.py:init():804] starting run threads in backend
2024-05-06 12:17:21,256 INFO    MainThread:25931 [wandb_run.py:_console_start():2241] atexit reg
2024-05-06 12:17:21,256 INFO    MainThread:25931 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-05-06 12:17:21,256 INFO    MainThread:25931 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-05-06 12:17:21,256 INFO    MainThread:25931 [wandb_run.py:_redirect():2186] Redirects installed.
2024-05-06 12:17:21,257 INFO    MainThread:25931 [wandb_init.py:init():847] run started, returning control to user process
