2024-07-08 00:51:06,173 INFO    MainThread:335821 [wandb_setup.py:_flush():76] Current SDK version is 0.17.1
2024-07-08 00:51:06,174 INFO    MainThread:335821 [wandb_setup.py:_flush():76] Configure stats pid to 335821
2024-07-08 00:51:06,174 INFO    MainThread:335821 [wandb_setup.py:_flush():76] Loading settings from /home/tzikos/.config/wandb/settings
2024-07-08 00:51:06,174 INFO    MainThread:335821 [wandb_setup.py:_flush():76] Loading settings from /home/tzikos/Desktop/KULeuvenThesis/wandb/settings
2024-07-08 00:51:06,174 INFO    MainThread:335821 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-08 00:51:06,174 INFO    MainThread:335821 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-08 00:51:06,174 INFO    MainThread:335821 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/home/tzikos/Desktop/KULeuvenThesis/main.py', 'program': '/home/tzikos/Desktop/KULeuvenThesis/main.py'}
2024-07-08 00:51:06,174 INFO    MainThread:335821 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-08 00:51:06,174 INFO    MainThread:335821 [wandb_init.py:_log_setup():520] Logging user logs to /home/tzikos/Desktop/KULeuvenThesis/wandb/run-20240708_005106-eawo4ijs/logs/debug.log
2024-07-08 00:51:06,174 INFO    MainThread:335821 [wandb_init.py:_log_setup():521] Logging internal logs to /home/tzikos/Desktop/KULeuvenThesis/wandb/run-20240708_005106-eawo4ijs/logs/debug-internal.log
2024-07-08 00:51:06,174 INFO    MainThread:335821 [wandb_init.py:init():560] calling init triggers
2024-07-08 00:51:06,174 INFO    MainThread:335821 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {'learning_rate': 1e-06, 'batch_size': 64, 'L1': 0.0001, 'L2': 0.0001, 'A': 1, 'early_patience': 12, 'reduce_lr_patience': 5, 'architecture': 'ECGCNNClassifier', 'experiment': 'tachy', 'use_pretrained': False}
2024-07-08 00:51:06,174 INFO    MainThread:335821 [wandb_init.py:init():610] starting backend
2024-07-08 00:51:06,174 INFO    MainThread:335821 [wandb_init.py:init():614] setting up manager
2024-07-08 00:51:06,176 INFO    MainThread:335821 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-08 00:51:06,177 INFO    MainThread:335821 [wandb_init.py:init():622] backend started and connected
2024-07-08 00:51:06,181 INFO    MainThread:335821 [wandb_init.py:init():711] updated telemetry
2024-07-08 00:51:06,188 INFO    MainThread:335821 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-07-08 00:51:07,703 INFO    MainThread:335821 [wandb_run.py:_on_init():2402] communicating current version
2024-07-08 00:51:08,056 INFO    MainThread:335821 [wandb_run.py:_on_init():2411] got version response upgrade_message: "wandb version 0.17.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-07-08 00:51:08,056 INFO    MainThread:335821 [wandb_init.py:init():795] starting run threads in backend
2024-07-08 00:51:11,101 INFO    MainThread:335821 [wandb_run.py:_console_start():2380] atexit reg
2024-07-08 00:51:11,101 INFO    MainThread:335821 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-08 00:51:11,101 INFO    MainThread:335821 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-08 00:51:11,101 INFO    MainThread:335821 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-08 00:51:11,102 INFO    MainThread:335821 [wandb_init.py:init():838] run started, returning control to user process
2024-07-08 01:00:39,203 INFO    MainThread:335821 [wandb_run.py:_finish():2109] finishing run kuthesis/KU AI Thesis/eawo4ijs
2024-07-08 01:00:39,203 INFO    MainThread:335821 [wandb_run.py:_atexit_cleanup():2349] got exitcode: 0
2024-07-08 01:00:39,203 INFO    MainThread:335821 [wandb_run.py:_restore():2332] restore
2024-07-08 01:00:39,203 INFO    MainThread:335821 [wandb_run.py:_restore():2338] restore done
2024-07-08 01:00:45,695 INFO    MainThread:335821 [wandb_run.py:_footer_history_summary_info():4008] rendering history
2024-07-08 01:00:45,697 INFO    MainThread:335821 [wandb_run.py:_footer_history_summary_info():4040] rendering summary
2024-07-08 01:00:45,703 INFO    MainThread:335821 [wandb_run.py:_footer_sync_info():3967] logging synced files
