2024-07-28 04:49:48,887 INFO    MainThread:5170 [wandb_setup.py:_flush():76] Current SDK version is 0.17.5
2024-07-28 04:49:48,888 INFO    MainThread:5170 [wandb_setup.py:_flush():76] Configure stats pid to 5170
2024-07-28 04:49:48,888 INFO    MainThread:5170 [wandb_setup.py:_flush():76] Loading settings from /home/tzikos/.config/wandb/settings
2024-07-28 04:49:48,888 INFO    MainThread:5170 [wandb_setup.py:_flush():76] Loading settings from /home/tzikos/Desktop/KULeuvenThesis/wandb/settings
2024-07-28 04:49:48,888 INFO    MainThread:5170 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-28 04:49:48,888 INFO    MainThread:5170 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-28 04:49:48,888 INFO    MainThread:5170 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'hybridML.py', 'program_abspath': '/home/tzikos/Desktop/KULeuvenThesis/hybridML.py', 'program': '/home/tzikos/Desktop/KULeuvenThesis/hybridML.py'}
2024-07-28 04:49:48,888 INFO    MainThread:5170 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-28 04:49:48,888 INFO    MainThread:5170 [wandb_init.py:_log_setup():529] Logging user logs to /home/tzikos/Desktop/KULeuvenThesis/wandb/run-20240728_044948-9sjv23x3/logs/debug.log
2024-07-28 04:49:48,888 INFO    MainThread:5170 [wandb_init.py:_log_setup():530] Logging internal logs to /home/tzikos/Desktop/KULeuvenThesis/wandb/run-20240728_044948-9sjv23x3/logs/debug-internal.log
2024-07-28 04:49:48,888 INFO    MainThread:5170 [wandb_init.py:init():569] calling init triggers
2024-07-28 04:49:48,888 INFO    MainThread:5170 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {'used LDAs': False, 'C': 0.1, 'fold': 2, 'batch_size': 64, 'architecture': 'ECGCNNClassifier_fold7_pre_B64_L5e-06_23-06-24-02-16.pth', 'experiment': 'pre', 'subtype': '5-class'}
2024-07-28 04:49:48,888 INFO    MainThread:5170 [wandb_init.py:init():619] starting backend
2024-07-28 04:49:48,888 INFO    MainThread:5170 [wandb_init.py:init():623] setting up manager
2024-07-28 04:49:48,889 INFO    MainThread:5170 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-28 04:49:48,891 INFO    MainThread:5170 [wandb_init.py:init():631] backend started and connected
2024-07-28 04:49:48,894 INFO    MainThread:5170 [wandb_init.py:init():720] updated telemetry
2024-07-28 04:49:48,898 INFO    MainThread:5170 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-07-28 04:49:49,332 INFO    MainThread:5170 [wandb_run.py:_on_init():2435] communicating current version
2024-07-28 04:49:49,453 INFO    MainThread:5170 [wandb_run.py:_on_init():2444] got version response 
2024-07-28 04:49:49,453 INFO    MainThread:5170 [wandb_init.py:init():804] starting run threads in backend
2024-07-28 04:49:51,996 INFO    MainThread:5170 [wandb_run.py:_console_start():2413] atexit reg
2024-07-28 04:49:51,997 INFO    MainThread:5170 [wandb_run.py:_redirect():2255] redirect: wrap_raw
2024-07-28 04:49:51,997 INFO    MainThread:5170 [wandb_run.py:_redirect():2320] Wrapping output streams.
2024-07-28 04:49:51,997 INFO    MainThread:5170 [wandb_run.py:_redirect():2345] Redirects installed.
2024-07-28 04:49:51,997 INFO    MainThread:5170 [wandb_init.py:init():847] run started, returning control to user process
2024-07-28 04:49:53,061 INFO    MainThread:5170 [wandb_run.py:_finish():2107] finishing run kuthesis/KU Thesis - Hybrid ML/9sjv23x3
2024-07-28 04:49:53,062 INFO    MainThread:5170 [wandb_run.py:_atexit_cleanup():2374] got exitcode: 0
2024-07-28 04:49:53,062 INFO    MainThread:5170 [wandb_run.py:_restore():2352] restore
2024-07-28 04:49:53,062 INFO    MainThread:5170 [wandb_run.py:_restore():2358] restore done
2024-07-28 04:50:02,443 INFO    MainThread:5170 [wandb_run.py:_footer_history_summary_info():4016] rendering history
2024-07-28 04:50:02,444 INFO    MainThread:5170 [wandb_run.py:_footer_history_summary_info():4048] rendering summary
2024-07-28 04:50:02,449 INFO    MainThread:5170 [wandb_run.py:_footer_sync_info():3975] logging synced files
